Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Otono,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Primavera,Laborable,Manca precaucio incorporacio circulacio,Mati,Colision lateral,Motocicleta,Home,[51;70]
Verano,Laborable,Desobeir altres senyals,Nit,Colision fronto-lateral,Turisme,Home,[18;33]
Otono,No laborable,Altres,Tarda,Colision fronto-lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50]
Primavera,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Invierno,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[51;70]
Invierno,Laborable,Altres,Tarda,Abast,Motocicleta,Dona,[34;50]
Primavera,No laborable,Envair calzada contraria,Mati,Colision frontal,Turisme,Home,[51;70]
Otono,No laborable,Manca d'atencio a la conduccio,Tarda,Atropellament,Motocicleta,Home,[34;50]
Otono,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[18;33]
Otono,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Primavera,Laborable,Desobeir altres senyals,Mati,Abast,Motocicleta,Home,[34;50]
Verano,No laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Dona,[18;33]
Otono,No laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[18;33]
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[51;70]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Verano,Laborable,No determinada,Tarda,Abast,Motocicleta,Home,[18;33]
Primavera,Laborable,No determinada,Tarda,Colision lateral,Motocicleta,Home,[34;50]
Invierno,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Dona,[18;33]
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[34;50]
Invierno,No laborable,No determinada,Mati,Caiguda (dues rodes),Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Otono,Laborable,Altres,Mati,Colision fronto-lateral,Motocicleta,Home,[34;50]
