Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad,Barrio
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Dona,[34;50],"Sant Pere, Santa Caterina i la Ribera"
Primavera,Laborable,Altres,Nit,Colision lateral,Motocicleta,Dona,[34;50],"Sant Pere, Santa Caterina i la Ribera"
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Colision frontal,Veh. Mobilidad personal con o sin motor,Dona,[18;33],la Nova Esquerra de l'Eixample
Invierno,No laborable,No respectar distancies,Mati,Abast multiple,Motocicleta,Dona,[34;50],les Tres Torres
Otono,Laborable,No determinada,Mati,Colision lateral,Furgoneta,Dona,[18;33],l'Antiga Esquerra de l'Eixample
Otono,Laborable,Altres,Mati,Colision lateral,Veh. Mobilidad personal con o sin motor,Home,[34;50],Sant Gervasi - la Bonanova
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50],Sant Gervasi - la Bonanova
Otono,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[34;50],Porta
Verano,Laborable,No determinada,Mati,Colision lateral,Motocicleta,Home,[18;33],el Clot
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Colision fronto-lateral,Motocicleta,Home,[18;33],la Maternitat i Sant Ramon
Invierno,Laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Motocicleta,Home,[51;70],Sant Gervasi - la Bonanova
Primavera,Laborable,Manca d'atencio a la conduccio,Nit,Xoc contra element estatic,Motocicleta,Home,[51;70],Sant Gervasi - la Bonanova
Invierno,No laborable,Altres,Mati,Colision lateral,Motocicleta,Dona,[18;33],Sant Gervasi - la Bonanova
Invierno,No laborable,Manca precaucio incorporacio circulacio,Mati,Colision lateral,Motocicleta,Dona,[18;33],la Vila Olimpica del Poblenou
Verano,Laborable,Manca d'atencio a la conduccio,Mati,Colision lateral,Motocicleta,Dona,[18;33],el Poble-sec
Otono,No laborable,No determinada,Tarda,Abast,Turisme,Home,[18;33],l'Antiga Esquerra de l'Eixample
Invierno,Laborable,No respectat pas de vianants,Tarda,Atropellament,Bicicleta,Home,[34;50],Sant Gervasi - Galvany
Otono,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Veh. Mobilidad personal con o sin motor,Home,[34;50],Horta
Verano,No laborable,Manca d'atencio a la conduccio,Tarda,Colision frontal,Bicicleta,Home,[18;33],la Sagrada Familia
